linegroup,inhibitor,inhibitor_conc
nccr_mwf_phenotyping_Ac_103_H8,None,0
nccr_mwf_phenotyping_Ac_103_H9,None,0
nccr_mwf_phenotyping_Ac_103_C4,None,0
nccr_mwf_phenotyping_Ac_103_C5,None,0
nccr_mwf_phenotyping_Ac_103_C6,None,0
nccr_mwf_phenotyping_Ac_103_F1,None,0
nccr_mwf_phenotyping_Ac_103_F2,None,0
nccr_mwf_phenotyping_Ac_103_F3,None,0
nccr_mwf_phenotyping_Ac_103_A1,None,0
nccr_mwf_phenotyping_Ac_103_A2,None,0
nccr_mwf_phenotyping_Ac_103_A3,None,0
nccr_mwf_phenotyping_Ac_103_C10,None,0
nccr_mwf_phenotyping_Ac_103_C11,None,0
nccr_mwf_phenotyping_Ac_103_C12,None,0
nccr_mwf_phenotyping_Ac_103_E10,None,0
nccr_mwf_phenotyping_Ac_103_E11,None,0
nccr_mwf_phenotyping_Ac_103_E12,None,0
nccr_mwf_phenotyping_Ac_103_B4,None,0
nccr_mwf_phenotyping_Ac_103_B5,None,0
nccr_mwf_phenotyping_Ac_103_B6,None,0
nccr_mwf_phenotyping_Ac_103_E4,None,0
nccr_mwf_phenotyping_Ac_103_E5,None,0
nccr_mwf_phenotyping_Ac_103_E6,None,0
nccr_mwf_phenotyping_Ac_103_F4,None,0
nccr_mwf_phenotyping_Ac_103_F5,None,0
nccr_mwf_phenotyping_Ac_103_F6,None,0
nccr_mwf_phenotyping_Ac_103_F7,None,0
nccr_mwf_phenotyping_Ac_103_F8,None,0
nccr_mwf_phenotyping_Ac_103_F9,None,0
nccr_mwf_phenotyping_Ac_103_G7,None,0
nccr_mwf_phenotyping_Ac_103_G8,None,0
nccr_mwf_phenotyping_Ac_103_G9,None,0
nccr_mwf_phenotyping_Ac_103_D10,None,0
nccr_mwf_phenotyping_Ac_103_D11,None,0
nccr_mwf_phenotyping_Ac_103_D12,None,0
nccr_mwf_phenotyping_Ac_103_E7,None,0
nccr_mwf_phenotyping_Ac_103_E8,None,0
nccr_mwf_phenotyping_Ac_103_E9,None,0
nccr_mwf_phenotyping_Ac_103_G10,None,0
nccr_mwf_phenotyping_Ac_103_G11,None,0
nccr_mwf_phenotyping_Ac_103_G12,None,0
nccr_mwf_phenotyping_Ac_103_B7,None,0
nccr_mwf_phenotyping_Ac_103_B8,None,0
nccr_mwf_phenotyping_Ac_103_B9,None,0
nccr_mwf_phenotyping_Ac_103_A10,None,0
nccr_mwf_phenotyping_Ac_103_A11,None,0
nccr_mwf_phenotyping_Ac_103_A12,None,0
nccr_mwf_phenotyping_Ac_103_B10,None,0
nccr_mwf_phenotyping_Ac_103_B11,None,0
nccr_mwf_phenotyping_Ac_103_B12,None,0
nccr_mwf_phenotyping_Ac_103_B1,None,0
nccr_mwf_phenotyping_Ac_103_B2,None,0
nccr_mwf_phenotyping_Ac_103_B3,None,0
nccr_mwf_phenotyping_Ac_103_H4,None,0
nccr_mwf_phenotyping_Ac_103_H5,None,0
nccr_mwf_phenotyping_Ac_103_H6,None,0
nccr_mwf_phenotyping_Ac_103_H10,None,0
nccr_mwf_phenotyping_Ac_103_H11,None,0
nccr_mwf_phenotyping_Ac_103_H12,None,0
nccr_mwf_phenotyping_Ac_103_D7,None,0
nccr_mwf_phenotyping_Ac_103_D8,None,0
nccr_mwf_phenotyping_Ac_103_D9,None,0
nccr_mwf_phenotyping_Ac_103_A4,None,0
nccr_mwf_phenotyping_Ac_103_A5,None,0
nccr_mwf_phenotyping_Ac_103_A6,None,0
nccr_mwf_phenotyping_An_101_F10,None,0
nccr_mwf_phenotyping_An_101_F11,None,0
nccr_mwf_phenotyping_An_101_F12,None,0
nccr_mwf_phenotyping_An_101_D1,None,0
nccr_mwf_phenotyping_An_101_D2,None,0
nccr_mwf_phenotyping_An_101_D3,None,0
nccr_mwf_phenotyping_An_101_A7,None,0
nccr_mwf_phenotyping_An_101_A8,None,0
nccr_mwf_phenotyping_An_101_A9,None,0
nccr_mwf_phenotyping_An_101_E1,None,0
nccr_mwf_phenotyping_An_101_E2,None,0
nccr_mwf_phenotyping_An_101_E3,None,0
nccr_mwf_phenotyping_An_101_G1,None,0
nccr_mwf_phenotyping_An_101_G2,None,0
nccr_mwf_phenotyping_An_101_G3,None,0
nccr_mwf_phenotyping_An_101_H1,None,0
nccr_mwf_phenotyping_An_101_H2,None,0
nccr_mwf_phenotyping_An_101_H3,None,0
nccr_mwf_phenotyping_An_101_C1,None,0
